,user_name,date,text,hashtags,favorite,retweet_count
0,𝘀𝘁𝘂𝗱𝘆𝘅𝗻𝗻.,2022-09-09 07:39:41,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
1,บอกเพื่อนแล้ว ว่าจะเป็นหมอ,2022-09-09 07:34:41,RT @me_perfectindy: ✨เธรด✨ - ข้อมูลเกี่ยวกับคณะแพทย์ มข หลักสูตร MD และรีวิวคณะในปี 1 เทอม 1 ในมุมมองของเราจากที่เรียนมาทั้งสิ้นเกือบๆ 1 เท…,[None],0,676
2,Blackpure มัมหมายัยโอย,2022-09-09 07:33:06,RT @me_perfectindy: ✨เธรดภาคต่อ✨ - รีวิวคณะแพทย์ มข หลักสูตร MD ในมุมมองของเราจากที่เรียนมาทั้งสิ้นเกือบๆ 1 เทอม🥹 ในปีแรก #dek66 #dek67 #เ…,"[['dek66', 'dek67']]",0,4
3,w.,2022-09-09 07:30:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
4,ฟ้าถ้าไม่ส่งเธอมา ก็ส่งพี่ชายเธอมา,2022-09-09 07:29:40,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
5,Blackpure มัมหมายัยโอย,2022-09-09 07:16:59,RT @me_perfectindy: ✨เธรด✨ - ข้อมูลเกี่ยวกับคณะแพทย์ มข หลักสูตร MD และรีวิวคณะในปี 1 เทอม 1 ในมุมมองของเราจากที่เรียนมาทั้งสิ้นเกือบๆ 1 เท…,[None],0,676
6,แค๊ปทันคะนั๊กเกิ้ล,2022-09-09 07:15:11,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
7,studybiior🫧,2022-09-09 07:07:52,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
8,saturp ✳︎,2022-09-09 07:00:05,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
9,dek66,2022-09-09 06:58:42,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
